,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Meta: _aioseo_keywords,Meta: _aioseo_og_article_section,Meta: _aioseo_og_article_tags,Meta: newts_product_brand,Meta: newts_product_brand_parent,Meta: _ajax_nonce-add-ts_product_brand,Meta: ts_prod_layout,Meta: ts_prod_left_sidebar,Meta: ts_prod_right_sidebar,Meta: ts_prod_custom_tab,Meta: ts_prod_custom_tab_title,Meta: ts_prod_custom_tab_content,Meta: ts_bg_breadcrumbs,Meta: ts_prod_video_url,Meta: ts_prod_360_gallery,Meta: _wp_page_template,Meta: rs_page_bg_color,Meta: _oembed_0e926c2490f6e3779aa5391788dcc03d,Meta: _oembed_time_0e926c2490f6e3779aa5391788dcc03d,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_old_date,Meta: _wp_desired_post_slug
30905,simple,,,Blended South Cotton printed sarees with contrasting blouse,1,0,visible,,"6.25 meter with running blouse plus 1 meter contrast blouse.
\n
\nSaree length 6.25 metres with running blouse and 1 metre contrast blouse.
\n
\nHeight 47 inches
\n
\nEasy to wash and maintain.Starch not required.
\nPrint won’t fade. You can machine wash as well after two times by hand.
\n
\nDelivery time : We take 2-3 business days to ship any product. After the shipment, it takes 5- 7 working days to deliver the product.",,,taxable,,1,11,,0,0,,,,,0,,,975,Insta collection,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260414-WA0073.jpg,,,,,,,,,175,,,,,New brand name,-1,0ed220d4b7,0,0,0,0,,,,,,,,,,,,,,,
30906,simple,,,Blended South Cotton printed sarees with contrasting blouse,1,0,visible,,"6.25 meter with running blouse plus 1 meter contrast blouse.
\n
\nSaree length 6.25 metres with running blouse and 1 metre contrast blouse.
\n
\nHeight 47 inches
\n
\nEasy to wash and maintain.Starch not required.
\nPrint won’t fade. You can machine wash as well after two times by hand.
\n
\nDelivery time : We take 2-3 business days to ship any product. After the shipment, it takes 5- 7 working days to deliver the product.",,,taxable,,1,11,,0,0,,,,,0,,,975,Insta collection,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260414-WA0072.jpg,,,,,,,,,177,,,,,New brand name,-1,0ed220d4b7,0,0,0,0,,,,,,,,,,,,,,,
30907,simple,,,Blended South Cotton printed sarees with contrasting blouse,1,0,visible,,"6.25 meter with running blouse plus 1 meter contrast blouse.
\n
\nSaree length 6.25 metres with running blouse and 1 metre contrast blouse.
\n
\nHeight 47 inches
\n
\nEasy to wash and maintain.Starch not required.
\nPrint won’t fade. You can machine wash as well after two times by hand.
\n
\nDelivery time : We take 2-3 business days to ship any product. After the shipment, it takes 5- 7 working days to deliver the product.",,,taxable,,1,11,,0,0,,,,,0,,,975,Insta collection,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260414-WA0071.jpg,,,,,,,,,179,,,,,New brand name,-1,0ed220d4b7,0,0,0,0,,,,,,,,,,,,,,,
31064,variable,,,Blended south cotton saree with readymade blouse,1,0,visible,,"Shipping &amp; Delivery
\n
\nDispatch Timeline: Made with care. Please allow 15 to 20 working days for delivery.
\n
\nProduct Specifications
\n
\nFabric: Premium South Cotton Mix (Breathable, lightweight, and easy to drape)
\n
\nCraft: Traditional Hand-Block Printing
\n
\nTotal Length: 6.25 meters (Includes running blouse material)
\n
\nBlouse Style: Comes with a running blouse piece that can be styled as a self-match or a contrasting look depending on your personal taste.
\n
\nAlteration Ready: The stitched blouse includes convenient margins to accommodate easy alterations and a perfect fit.",,,taxable,,1,,,0,0,,,,,0,,,,Readymade blouse,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260603-WA0071.jpg,,,,,,,,,219,,,,,New brand name,-1,30b5ffd842,0,0,0,0,,,,,,,,,,size,"32, 34, 36, 38, 40, 42, Unstitched",1,1,,
31073,variable,,,Blended south cotton saree with readymade blouse,1,0,visible,,"Shipping &amp; Delivery
\n
\nDispatch Timeline: Made with care. Please allow 15 to 20 working days for delivery.
\n
\nProduct Specifications
\n
\nFabric: Premium South Cotton Mix (Breathable, lightweight, and easy to drape)
\n
\nCraft: Traditional Hand-Block Printing
\n
\nTotal Length: 6.25 meters (Includes running blouse material)
\n
\nBlouse Style: Comes with a running blouse piece that can be styled as a self-match or a contrasting look depending on your personal taste.
\n
\nAlteration Ready: The stitched blouse includes convenient margins to accommodate easy alterations and a perfect fit.",,,taxable,,1,,,0,0,,,,,0,,,,Readymade blouse,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260603-WA0078.jpg,,,,,,,,,220,,,,,New brand name,-1,30b5ffd842,0,0,0,0,,,,,,,,,,size,"32, 34, 36, 38, 40, 42, Unstitched",1,1,,
31081,variable,,,Blended south cotton saree with readymade blouse,1,0,visible,,"Shipping &amp; Delivery
\n
\nDispatch Timeline: Made with care. Please allow 15 to 20 working days for delivery.
\n
\nProduct Specifications
\n
\nFabric: Premium South Cotton Mix (Breathable, lightweight, and easy to drape)
\n
\nCraft: Traditional Hand-Block Printing
\n
\nTotal Length: 6.25 meters (Includes running blouse material)
\n
\nBlouse Style: Comes with a running blouse piece that can be styled as a self-match or a contrasting look depending on your personal taste.
\n
\nAlteration Ready: The stitched blouse includes convenient margins to accommodate easy alterations and a perfect fit.",,,taxable,,1,,,0,0,,,,,0,,,,Readymade blouse,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260603-WA0073.jpg,,,,,,,,,221,,,,,New brand name,-1,30b5ffd842,0,0,0,0,,,,,,,,,,size,"32, 34, 36, 38, 40, 42, Unstitched",1,1,,
31072,variation,,,Blended south cotton saree with readymade blouse - Unstitched,1,0,visible,,,,,taxable,parent,1,8,,0,0,,,,,0,,,975,,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260603-WA0071.jpg,,,id:31064,,,,,,1,,,,,,,,,,,,,,,,,,,,,size,Unstitched,,1,,
31065,variation,,,Blended south cotton saree with readymade blouse - 32,1,0,visible,,,,,taxable,parent,1,11,,0,0,,,,,0,,,1850,,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260603-WA0071.jpg,,,id:31064,,,,,,2,,,,,,,,,,,,,,,,,,,,,size,32,,1,,
31066,variation,,,Blended south cotton saree with readymade blouse - 34,1,0,visible,,,,,taxable,parent,1,11,,0,0,,,,,0,,,1850,,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260603-WA0071.jpg,,,id:31064,,,,,,3,,,,,,,,,,,,,,,,,,,,,size,34,,1,,
31067,variation,,,Blended south cotton saree with readymade blouse - 36,1,0,visible,,,,,taxable,parent,1,11,,0,0,,,,,0,,,1850,,,,https://mahaa.in/wp-content/uploads/2026/06/IMG-20260603-WA0071.jpg,,,id:31064,,,,,,4,,,,,,,,,,,,,,,,,,,,,size,36,,1,,
